	CYAZ	KACV	KAST	KLAX	KLGB	KMRY	KNTD	KNZY	KOAK	KOTH	KSAN	KSFO	KVBG	PACD	PADK	PADQ	PAHO	PANT	PSIT	PYAK
1950		51.227495908346974	42.33937397034596	38.56209150326798	36.60130718954248	41.4075286415712	50.57851239669422	45.48440065681445	26.143790849673206	31.862745098039213	42.810457516339866	20.26143790849673			85.13071895424837	56.5359477124183	13.747954173486088	43.95424836601307	27.450980392156865	59.150326797385624
1951		58.496732026143796	51.33779264214047	30.22875816993464	31.699346405228756	55.810147299509005	41.31147540983607	36.27450980392157	33.82352941176471	37.41830065359477	33.49673202614379	29.73856209150327			85.13071895424837	53.75816993464052	9.165302782324058	35.45751633986928	44.51718494271686	64.82758620689654
1952		51.470588235294116	44.79166666666667	26.96078431372549	24.34640522875817	37.47954173486088	37.41830065359477	30.392156862745097	25.163398692810457	35.67921440261866	25.779967159277504	20.098039215686274			84.15032679738562	44.771241830065364	11.928104575163399	35.02454991816694	42.88052373158756	59.967320261437905
1953		42.810457516339866	38.88888888888889	26.96078431372549	22.875816993464053	37.58169934640523	30.88235294117647	30.392156862745097	21.241830065359476	31.045751633986928	27.61437908496732	23.03921568627451			83.16993464052288	38.72549019607843	11.76470588235294	35.62091503267974	42.15686274509804	55.810147299509005
1954		43.4640522875817	36.11111111111111	34.04255319148936	33.33333333333333	32.6797385620915	42.3202614379085	41.17647058823529	22.058823529411764	31.795716639209225	38.56209150326798	19.11764705882353			81.5359477124183	46.24183006535948	13.071895424836603	38.95253682487725	38.72549019607843	48.69281045751634
1955		47.05882352941176	42.48366013071895	31.699346405228756	29.901960784313726	41.33986928104575	39.37908496732026	36.76470588235294	23.52941176470588	35.78431372549019	32.189542483660134	18.790849673202615			83.16993464052288	48.69281045751634	20.098039215686274	41.01307189542484	35.45751633986928	66.12111292962356
1956		46.07843137254902	40.849673202614376	25.98039215686275	25.163398692810457	39.21568627450981	37.745098039215684	27.941176470588236	23.366013071895424	34.64052287581699	26.307189542483663	20.915032679738562		80.31358885017421	85.94771241830065	50.0	21.73202614379085	41.01307189542484	45.588235294117645	55.22875816993464
1957		42.97385620915033	31.372549019607842	21.568627450980394	22.22222222222222	31.795716639209225	23.856209150326798	33.49673202614379	23.366013071895424	26.797385620915033	26.797385620915033	19.77124183006536		68.86120996441281	83.82352941176471	43.627450980392155	13.88888888888889	37.254901960784316	40.19607843137255	47.385620915032675
1958		49.42716857610475	42.97385620915033	26.02291325695581	24.137931034482758	37.213114754098356	33.82352941176471	30.065359477124183	28.75816993464052	30.065359477124183	27.287581699346404	22.058823529411764	39.8989898989899	72.38562091503267	72.22222222222221	50.16339869281046	12.254901960784313	35.294117647058826	37.254901960784316	62.745098039215684
1959		40.98360655737705	38.56209150326798	24.673202614379086	23.03921568627451	30.555555555555557	31.045751633986928	31.372549019607842	19.28104575163399	32.6797385620915	30.22875816993464	16.830065359477125	41.33986928104575	68.79084967320262	85.45751633986927	37.41830065359477	13.725490196078432	41.50326797385621	31.862745098039213	50.81699346405229
1960	39.93453355155483	50.81699346405229	39.705882352941174	23.692810457516337	22.058823529411764	37.908496732026144	32.84313725490196	28.104575163398692	24.509803921568626	34.150326797385624	26.633986928104576	15.686274509803921	44.44444444444444	69.77124183006535	88.0718954248366	38.88888888888889	10.947712418300654	43.627450980392155	43.13725490196079	60.78431372549019
1961	38.88888888888889	46.89542483660131	38.88888888888889	30.555555555555557	28.26797385620915	35.45751633986928	44.11764705882353	39.54248366013072	25.326797385620914	40.849673202614376	34.967320261437905	20.424836601307188	46.73202614379085	75.65359477124183	88.39869281045752	38.88888888888889	13.584288052373159	30.88235294117647	42.3202614379085	58.00653594771242
1962	44.11764705882353	48.8562091503268	45.91503267973856	33.66013071895425	31.372549019607842	47.22222222222222	43.790849673202615	39.54248366013072	28.921568627450984	36.60130718954248	36.27450980392157	23.692810457516337	54.41176470588235	67.81045751633987	79.08496732026144	38.88888888888889	15.359477124183007	44.771241830065364	50.0	59.150326797385624
1963	43.627450980392155	48.8562091503268	36.76470588235294	27.941176470588236	28.594771241830063	38.0718954248366	35.78431372549019	37.254901960784316	24.019607843137255	33.77049180327869	34.150326797385624	18.137254901960784	45.751633986928105	81.37254901960785	84.9673202614379	44.771241830065364	12.581699346405228	45.09803921568628	39.21568627450981	55.88235294117647
1964	48.69281045751634	43.627450980392155	43.30065359477124	28.921568627450984	27.941176470588236	39.705882352941174	35.78431372549019	37.58169934640523	24.34640522875817	35.914332784184516	33.55155482815057	21.73202614379085	46.568627450980394	76.1437908496732	83.00653594771242	39.37908496732026	12.418300653594772	44.11764705882353	46.568627450980394	51.143790849673195
